,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Company Location PT
184,600,Artisan du Chocolat,UK,2010,Vietnam,Ba Ria Vung Tau Province,"0,72","3- B,S,C","unrefined, distinct spicey","3,25",Reino Unido
185,486,Artisan du Chocolat,UK,2010,Venezuela,Venezuela,"1,0",,"very nutty, very bitter","1,75",Reino Unido
186,729,Artisan du Chocolat,UK,2011,Haiti,Haiti,"0,72","3- B,S,C","nuts, butterscotch, brownie","4,0",Reino Unido
187,745,Artisan du Chocolat,UK,2011,Panama,Panama,"0,72","3- B,S,C","blackpepper,chemical,rubber","2,75",Reino Unido
188,947,Artisan du Chocolat,UK,2012,Colombia,"Colombia, Casa Luker","0,72","3- B,S,C","marshmallow, roasty, nutty","3,75",Reino Unido
189,1193,Artisan du Chocolat,UK,2013,Trinidad,"Trinidad, Heritage, Limited ed.","0,72","3- B,S,C","gritty, nutty","3,25",Reino Unido
190,1181,Artisan du Chocolat (Casa Luker),UK,2013,Colombia,"Orinoqua Region, Arauca","0,72","4- B,S,C,L","creamy, marshmallow, off","2,75",Reino Unido
191,2566,Aruntam,Italy,2021,Tanzania,"Kokoa Kamili, lot TZ72199","0,72","4- B,S,C,L","caramel, sour milk","3,5",Itália
192,2562,Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221","0,72","4- B,S,C,L","cinamon, nutmeg, fatty","3,25",Itália
193,2562,Aruntam,Italy,2021,Madagascar,"Bejofo E., Akesson, lot MA72820","0,72","4- B,S,C,L","strawberry, sour","3,25",Itália
194,2868,Aruntam,Italy,2023,Venezuela,"Chuao, 2020 Harvest, Uncommon line","0,7","4- B,S,C,L","slow, mild plum, caramel, sour","3,0",Itália
195,2868,Aruntam,Italy,2023,Nicaragua,"Chuno, Uncommon line","0,73","4- B,S,C,L","harsh, tobacco, burnt, woody","3,0",Itália
196,2872,Aruntam,Italy,2023,Peru,"Maranon, Uncommon line","0,7","4- B,S,C,L","grapes, pinapple, mint","3,0",Itália
